Cities,Month,2013-14 - SO2,2013-14 - NO2,2013-14 - PM10,2014-15 - SO2,2014-15 - NO2,2014-15 - PM10,2015-16 - SO2,2015-16 - NO2,2015-16 - PM10
Agra,Sep,4,16,91,4,14,93,4,17,132
Agra,Oct,4,21,159,4,21,187,3,24,211
Agra,Nov,6,33,311,5,39,344,4,33,302
Allahabad,Sep,5,15,221,3,19,233,2,18,248
Allahabad,Oct,4,24,223,2,36,228,4,17,247
Allahabad,Nov,6,22,245,3,39,249,6,36,246
Ghaziabad,Sep,24,37,202,24,40,195,23,40,248
Ghaziabad,Oct,26,41,244,24,42,277,23,38,265
Ghaziabad,Nov,27,40,249,*,*,*,22,36,301
Kanpur,Sep,5,19,127,5,32,144,6,31,167
Kanpur,Oct,5,31,184,5,37,190,6,37,192
Kanpur,Nov,5,39,279,5,41,287,7,39,249
Lucknow,Sep,7,27,180,7,27,157,7,26,158
Lucknow,Oct,8,26,186,7,27,163,8,27,166
Lucknow,Nov,8,30,199,7,27,166,8,28,172
Meerut,Sep,7,41,132,8,51,159,*,*,*
Meerut,Oct,8,42,139,8,54,163,*,*,*
Meerut,Nov,7,37,132,8,53,162,*,*,*
Varanasi,Sep,20,32,141,*,*,*,20,33,143
Varanasi,Oct,20,32,141,19,33,142,19,34,147
Varanasi,Nov,20,39,146,*,*,*,19,33,146
Amritsar,Sep,13,37,164,13,39,181,12,35,153
Amritsar,Oct,15,40,171,14,47,202,12,35,164
Amritsar,Nov,14,40,179,14,41,190,14,39,199
Faridabad,Sep,*,*,*,15,24,200,*,*,*
Faridabad,Oct,11,22,131,16,25,213,*,*,*
Faridabad,Nov,9,18,121,13,20,183,*,*,*
Gwalior,Sep,12,25,187,11,15,135,10,14,108
Gwalior,Oct,12,25,188,10,15,133,*,*,*
Gwalior,Nov,13,27,196,10,13,128,*,*,*
Jaipur,Sep,5,26,102,5,28,93,6,27,143
Jaipur,Oct,6,31,134,7,59,158,7,33,182
Jaipur,Nov,9,46,204,7,46,184,8,41,240
Delhi,Sep,4,53,134,4,53,174,4,46,123
Delhi,Oct,5,68,220,7,68,243,4,63,208
Delhi,Nov,5,78,292,12,87,314,5,86,340
